q,Componentes Conexos,Tamaño Clúster Mayor,N_sc
0.0,1000000.0,1.0,1.0000000000000152e-06
0.01,980017.133,4.558,4.557999999999952e-06
0.02,960043.9,5.675,5.674999999999923e-06
0.03,940076.809,6.661,6.66100000000001e-06
0.04,920101.023,7.581,7.581000000000086e-06
0.05,900117.991,8.516,8.516000000000066e-06
0.06,880143.759,9.533,9.533e-06
0.07,860175.91,10.513,1.0512999999999931e-05
0.08,840213.076,11.488,1.1487999999999996e-05
0.09,820252.996,12.643,1.2643000000000077e-05
0.1,800311.636,13.787,1.3787000000000109e-05
0.11,780377.037,15.065,1.5065000000000036e-05
0.12,760463.505,16.444,1.6444000000000024e-05
0.13,740574.404,17.82,1.7820000000000026e-05
0.14,720691.865,19.475,1.947500000000006e-05
0.15,700846.872,21.24,2.124000000000002e-05
0.16,681019.811,22.946,2.2946000000000054e-05
0.17,661228.955,24.923,2.4923000000000036e-05
0.18,641485.629,27.258,2.7258000000000053e-05
0.19,621778.41,29.699,2.9699000000000042e-05
0.2,602121.625,32.411,3.241099999999995e-05
0.21,582528.013,35.437,3.5436999999999864e-05
0.22,562987.227,38.829,3.8829000000000065e-05
0.23,543520.084,42.498,4.249800000000009e-05
0.24,524136.814,46.59,4.659000000000007e-05
0.25,504846.844,51.195,5.119500000000007e-05
0.26,485647.457,56.541,5.654100000000003e-05
0.27,466553.85,62.475,6.247499999999977e-05
0.28,447578.082,69.887,6.988699999999988e-05
0.29,428735.438,77.966,7.796600000000002e-05
0.3,410034.313,87.363,8.736300000000005e-05
0.31,391498.977,98.264,9.826400000000003e-05
0.32,373121.618,111.581,0.0001115810000000001
0.33,354940.506,127.131,0.00012713099999999962
0.34,336951.734,146.316,0.00014631599999999985
0.35,319183.769,169.091,0.00016909099999999982
0.36,301667.116,196.737,0.00019673700000000005
0.37,284409.245,233.415,0.00023341500000000022
0.38,267445.551,279.275,0.0002792750000000004
0.39,250791.148,337.048,0.0003370480000000002
0.4,234482.905,415.815,0.00041581500000000004
0.41,218539.153,522.947,0.0005229469999999996
0.42,203000.97,678.72,0.0006787199999999997
0.43,187899.949,898.082,0.0008980819999999989
0.44,173294.75,1242.163,0.0012421629999999988
0.45,159212.316,1821.873,0.001821873
0.46,145706.037,2910.067,0.002910067000000003
0.47,132841.193,5219.202,0.005219201999999992
0.48,120672.597,11506.015,0.011506014999999993
0.49,109288.576,38737.876,0.038737876000000046
0.5,98771.057,306775.844,0.30677584399999974
0.51,89205.182,703642.877,0.7036428770000013
0.52,80526.556,787171.22,0.7871712200000006
0.53,72636.25,832155.866,0.8321558660000001
0.54,65452.475,862749.629,0.8627496290000012
0.55,58907.707,885555.157,0.8855551570000004
0.56,52950.645,903421.629,0.9034216289999987
0.57,47527.324,917858.316,0.9178583160000008
0.58,42593.46,929758.627,0.9297586270000007
0.59,38105.459,939680.478,0.9396804780000005
0.6,34030.209,948072.307,0.9480723070000004
0.61,30328.85,955206.768,0.9552067679999998
0.62,26973.547,961331.974,0.9613319740000007
0.63,23934.886,966605.239,0.966605239
0.64,21184.579,971172.701,0.9711727010000009
0.65,18703.24,975126.498,0.975126498
0.66,16464.055,978565.866,0.9785658659999994
0.67,14451.919,981551.367,0.9815513670000006
0.68,12644.074,984146.647,0.984146647000001
0.69,11021.387,986415.433,0.9864154330000007
0.7,9571.957,988386.812,0.9883868120000001
0.71,8278.359,990105.773,0.9901057729999991
0.72,7128.879,991597.323,0.9915973229999999
0.73,6108.977,992891.131,0.9928911310000011
0.74,5210.902,994009.796,0.9940097960000019
0.75,4418.804,994978.073,0.9949780730000009
0.76,3726.788,995810.023,0.9958100229999994
0.77,3122.099,996525.493,0.9965254929999987
0.78,2594.95,997139.926,0.997139926000001
0.79,2141.257,997660.829,0.9976608289999985
0.8,1750.797,998103.456,0.9981034559999998
0.81,1419.157,998474.982,0.998474982
0.82,1137.388,998786.826,0.9987868259999994
0.83,901.723,999044.8,0.9990448000000013
0.84,704.939,999257.778,0.9992577779999997
0.85,542.16,999432.992,0.9994329919999985
0.86,410.128,999573.594,0.9995735939999993
0.87,304.281,999685.511,0.9996855110000002
0.88,220.608,999773.319,0.9997733190000003
0.89,155.805,999840.945,0.9998409449999999
0.9,106.903,999891.633,0.999891633000003
0.91,70.283,999929.387,0.9999293869999967
0.92,44.436,999955.89,0.9999558899999981
0.93,26.713,999973.931,0.9999739309999929
0.94,15.062,999985.785,0.999985785000015
0.95,7.861,999993.077,0.9999930770000119
0.96,3.886,999997.089,0.9999970890000061
0.97,1.959,999999.037,0.9999990370000023
0.98,1.204,999999.795,0.9999997950000005
0.99,1.016,999999.984,0.999999984
1.0,1.0,1000000.0,1.0
