q,Componentes Conexos,Tamaño Clúster Mayor,N_sc
0.0,100.0,1.0,0.01
0.1,88.0,13.0,0.13
0.2,84.0,17.0,0.17
0.3,78.0,23.0,0.23
0.4,65.0,35.0,0.35
0.5,56.0,44.0,0.44
0.6,40.0,60.0,0.6
0.7,27.0,73.0,0.73
0.8,21.0,80.0,0.8
0.9,12.0,89.0,0.89
1.0,1.0,100.0,1.0
