q,Componentes Conexos,Tamaño Clúster Mayor,N_sc
0.0,640000.0,1.0,1.5625000000000287e-06
0.01,627214.681,4.414,6.896875000000076e-06
0.02,614430.928,5.513,8.61406249999993e-06
0.03,601647.698,6.461,1.009531250000006e-05
0.04,588867.278,7.363,1.1504687500000142e-05
0.05,576082.455,8.313,1.2989062500000174e-05
0.06,563305.261,9.217,1.4401562500000115e-05
0.07,550525.238,10.193,1.5926562500000002e-05
0.08,537752.777,11.126,1.7384374999999977e-05
0.09,524986.376,12.211,1.90796875000001e-05
0.1,512228.578,13.339,2.0842187500000133e-05
0.11,499476.608,14.376,2.246250000000019e-05
0.12,486730.23,15.706,2.454062500000023e-05
0.13,473998.908,17.101,2.6720312500000278e-05
0.14,461282.503,18.533,2.8957812500000213e-05
0.15,448578.835,20.162,3.150312500000003e-05
0.16,435898.627,21.933,3.427031249999984e-05
0.17,423237.135,23.982,3.7471874999999886e-05
0.18,410605.375,26.197,4.0932812499999844e-05
0.19,397998.874,28.487,4.451093749999988e-05
0.2,385423.295,31.399,4.906093749999994e-05
0.21,372881.066,34.174,5.339687500000007e-05
0.22,360384.937,37.224,5.816249949999992e-05
0.23,347931.826,40.893,6.389531200000004e-05
0.24,335529.297,44.789,6.998281200000011e-05
0.25,323185.771,49.354,7.711562150000007e-05
0.26,310901.573,54.909,8.579531299999996e-05
0.27,298691.242,60.405,9.438280349999993e-05
0.28,286558.734,66.926,0.0001045718845
0.29,274500.394,74.982,0.00011715940699999997
0.3,262531.467,83.574,0.0001305844160000001
0.31,250667.691,94.211,0.0001472047009999998
0.32,238905.964,106.408,0.00016626250199999973
0.33,227268.841,122.148,0.00019085625100000004
0.34,215755.109,139.865,0.00021853906800000012
0.35,204390.923,160.809,0.00025126404199999995
0.36,193180.149,187.642,0.00029319061700000087
0.37,182137.827,221.653,0.0003463327970000005
0.38,171274.876,264.796,0.00041374373099999957
0.39,160613.67,321.809,0.0005028265409999998
0.4,150174.712,396.01,0.0006187655929999995
0.41,139973.208,492.431,0.000769423466999999
0.42,130030.169,636.689,0.0009948265750000008
0.43,120379.563,840.188,0.0013127938330000004
0.44,111032.215,1156.598,0.001807184479999998
0.45,102023.415,1686.369,0.0026349515300000035
0.46,93381.556,2705.465,0.004227289000000008
0.47,85150.283,4757.237,0.007433182339999996
0.48,77368.614,10127.216,0.015823775610000024
0.49,70077.331,31385.548,0.04903991769999993
0.5,63336.355,204651.419,0.3197678466
0.51,57201.048,445952.16,0.6968002499999999
0.52,51640.508,502210.203,0.7847034480000004
0.53,46584.961,531616.485,0.8306507409999997
0.54,41981.365,551460.285,0.8616567030000003
0.55,37786.19,566281.397,0.884814686999999
0.56,33967.361,577833.197,0.902864361
0.57,30491.196,587142.38,0.917409968000001
0.58,27331.291,594796.719,0.9293698800000016
0.59,24455.257,601186.075,0.9393532470000006
0.6,21842.449,606582.621,0.9477853550000003
0.61,19470.682,611182.388,0.9549724980000004
0.62,17318.369,615127.946,0.9611374070000002
0.63,15368.053,618521.914,0.9664404770000001
0.64,13605.628,621451.274,0.9710176010000007
0.65,12014.865,623991.791,0.9749871699999992
0.66,10576.134,626204.369,0.9784443490000003
0.67,9282.758,628129.991,0.9814531050000008
0.68,8119.628,629805.523,0.9840711339999999
0.69,7077.125,631265.921,0.9863529939999999
0.7,6147.298,632534.872,0.9883357359999985
0.71,5317.475,633638.122,0.9900595609999996
0.72,4579.759,634597.438,0.9915584819999989
0.73,3927.35,635425.906,0.9928529789999981
0.74,3349.57,636144.878,0.9939763820000003
0.75,2841.386,636766.574,0.9949477660000005
0.76,2395.422,637303.914,0.9957873740000008
0.77,2006.08,637765.35,0.9965083459999994
0.78,1669.326,638158.307,0.9971223480000001
0.79,1378.333,638492.913,0.9976451819999989
0.8,1127.75,638777.081,0.9980891860000001
0.81,913.326,639017.664,0.9984651050000012
0.82,732.828,639217.828,0.9987778559999999
0.83,581.19,639383.921,0.9990373769999998
0.84,454.718,639521.151,0.999251804000001
0.85,350.783,639633.043,0.9994266179999974
0.86,265.869,639723.707,0.9995682909999997
0.87,197.516,639796.152,0.9996814800000018
0.88,143.373,639853.053,0.9997703830000005
0.89,101.308,639896.95,0.9998389879999984
0.9,69.688,639929.665,0.9998901250000026
0.91,45.976,639954.144,0.9999283529999994
0.92,29.281,639971.284,0.9999551039999991
0.93,17.65,639983.135,0.9999736429999962
0.94,10.019,639990.891,0.9999858340000137
0.95,5.369,639995.593,0.9999931370000114
0.96,2.856,639998.13,0.9999969530000062
0.97,1.63,639999.364,0.9999988590000025
0.98,1.157,639999.842,0.9999996920000007
0.99,1.017,639999.983,0.9999999660000001
1.0,1.0,640000.0,1.0
