q,Componentes Conexos,Tamaño Clúster Mayor,N_sc
0.0,100.0,1.0,0.01
0.1,27.0,70.0,0.7
0.2,11.0,87.0,0.87
0.3,6.0,95.0,0.95
0.4,5.0,96.0,0.96
0.5,4.0,97.0,0.97
0.6,4.0,97.0,0.97
0.7,2.0,99.0,0.99
0.8,2.0,99.0,0.99
0.9,1.0,100.0,1.0
1.0,1.0,100.0,1.0
