q,Componentes Conexos,Tamaño Clúster Mayor,N_sc
0.0,250000.0,1.0,4.000000000000061e-06
0.01,245010.206,4.194,1.6776000000000068e-05
0.02,240021.044,5.145,2.0579999999999603e-05
0.03,235026.594,6.011,2.404399999999979e-05
0.04,230038.613,6.865,2.7460000000000096e-05
0.05,225046.155,7.639,3.055600000000032e-05
0.06,220056.177,8.507,3.4028000000000244e-05
0.07,215069.136,9.384,3.7536000000000015e-05
0.08,210082.548,10.272,4.108799999999982e-05
0.09,205101.972,11.236,4.4943999999999894e-05
0.1,200122.51,12.228,4.891200000000022e-05
0.11,195147.095,13.307,5.322800000000039e-05
0.12,190173.512,14.466,5.786400000000038e-05
0.13,185200.735,15.717,6.28680000000001e-05
0.14,180235.924,17.09,6.836000000000003e-05
0.15,175276.055,18.596,7.438400000000004e-05
0.16,170325.071,20.241,8.096400000000007e-05
0.17,165382.336,22.021,8.808400000000013e-05
0.18,160450.133,23.903,9.561200000000015e-05
0.19,155528.6,26.099,0.00010439600000000018
0.2,150619.346,28.435,0.00011374000000000021
0.21,145722.449,31.021,0.00012408399999999997
0.22,140844.294,33.711,0.00013484399999999998
0.23,135985.434,36.896,0.00014758399999999976
0.24,131143.399,40.581,0.00016232400000000004
0.25,126329.552,44.705,0.00017882000000000027
0.26,121538.562,49.313,0.00019725200000000038
0.27,116775.225,54.623,0.00021849200000000033
0.28,112033.877,60.271,0.00024108399999999984
0.29,107327.456,67.191,0.0002687639999999993
0.3,102655.409,74.745,0.00029898
0.31,98021.791,84.572,0.0003382880000000001
0.32,93431.91,95.7,0.00038280000000000063
0.33,88891.613,109.314,0.00043725600000000007
0.34,84396.843,125.018,0.0005000719999999994
0.35,79958.084,143.967,0.0005758680000000001
0.36,75581.31,166.993,0.0006679719999999995
0.37,71271.252,196.305,0.0007852200000000003
0.38,67029.672,235.083,0.0009403319999999997
0.39,62869.533,282.755,0.0011310199999999976
0.4,58793.371,346.307,0.0013852280000000005
0.41,54809.533,433.343,0.0017333720000000008
0.42,50927.664,553.456,0.0022138239999999997
0.43,47154.771,729.095,0.0029163799999999992
0.44,43504.981,1004.572,0.004018287999999998
0.45,39981.342,1455.73,0.005822920000000007
0.46,36604.396,2209.988,0.008839952000000002
0.47,33389.82,3730.855,0.014923419999999984
0.48,30347.093,7586.949,0.030347795999999993
0.49,27494.332,21168.6,0.08467440000000014
0.5,24857.7,83547.325,0.3341893000000003
0.51,22453.648,168655.683,0.6746227319999994
0.52,20272.177,194132.347,0.7765293880000003
0.53,18289.64,206625.096,0.8265003840000001
0.54,16483.84,214740.465,0.8589618599999989
0.55,14841.27,220693.734,0.8827749360000007
0.56,13343.748,225310.767,0.9012430680000011
0.57,11979.117,229034.164,0.9161366559999985
0.58,10740.129,232078.601,0.9283144039999991
0.59,9612.15,234620.219,0.938480875999999
0.6,8585.784,236774.572,0.947098288000001
0.61,7653.254,238604.0,0.9544160000000006
0.62,6808.585,240164.593,0.9606583720000011
0.63,6044.355,241501.169,0.9660046760000006
0.64,5352.172,242665.277,0.9706611080000004
0.65,4726.647,243672.469,0.9746898759999999
0.66,4162.478,244547.948,0.9781917920000008
0.67,3654.025,245307.859,0.9812314360000008
0.68,3197.446,245968.112,0.9838724479999996
0.69,2789.117,246543.417,0.9861736679999987
0.7,2423.575,247043.837,0.988175347999999
0.71,2096.52,247480.779,0.9899231160000003
0.72,1806.177,247859.94,0.9914397600000009
0.73,1549.032,248188.99,0.9927559599999991
0.74,1322.143,248473.397,0.9938935880000007
0.75,1122.494,248719.133,0.9948765319999989
0.76,947.205,248930.944,0.995723776
0.77,794.363,249112.677,0.9964507079999996
0.78,660.82,249269.459,0.997077836
0.79,546.194,249401.519,0.9976060759999997
0.8,447.714,249513.674,0.9980546959999997
0.81,363.245,249608.653,0.9984346120000004
0.82,291.511,249688.486,0.9987539440000003
0.83,231.283,249754.737,0.9990189479999991
0.84,181.197,249809.349,0.9992373959999985
0.85,140.012,249853.798,0.9994151919999998
0.86,106.268,249889.944,0.999559776
0.87,79.152,249918.669,0.9996746759999996
0.88,57.844,249941.114,0.9997644559999993
0.89,41.285,249958.445,0.99983378
0.9,28.505,249971.766,0.9998870640000013
0.91,19.121,249981.457,0.9999258279999998
0.92,12.408,249988.345,0.9999533799999993
0.93,7.759,249993.106,0.9999724239999965
0.94,4.724,249996.21,0.999984840000008
0.95,2.875,249998.099,0.9999923960000091
0.96,1.785,249999.204,0.999996816000006
0.97,1.245,249999.755,0.9999990200000021
0.98,1.051,249999.949,0.9999997960000004
0.99,1.006,249999.994,0.999999976
1.0,1.0,250000.0,1.0
