q,Componentes Conexos,Tamaño Clúster Mayor,N_sc
0.0,10000.0,1.0,0.00010000000000000183
0.01,9801.433,3.184,0.00031840000000000275
0.02,9603.13,3.893,0.00038930000000000605
0.03,9405.963,4.489,0.0004489000000000042
0.04,9207.796,5.081,0.0005081
0.05,9009.895,5.615,0.000561499999999997
0.06,8811.758,6.224,0.0006223999999999996
0.07,8614.714,6.836,0.0006836000000000056
0.08,8416.311,7.452,0.0007452000000000087
0.09,8218.363,8.063,0.00080630000000001
0.1,8020.957,8.753,0.000875300000000009
0.11,7823.165,9.514,0.0009514000000000051
0.12,7624.864,10.228,0.0010228000000000004
0.13,7427.821,11.073,0.001107299999999997
0.14,7231.433,11.961,0.0011960999999999996
0.15,7034.113,12.983,0.0012983000000000057
0.16,6838.071,13.996,0.0013996000000000136
0.17,6641.71,15.169,0.0015169000000000165
0.18,6446.193,16.404,0.0016404000000000165
0.19,6250.28,17.843,0.0017843000000000127
0.2,6056.03,19.333,0.0019333000000000065
0.21,5861.857,20.907,0.002090699999999996
0.22,5668.635,22.816,0.0022815999999999943
0.23,5475.903,24.738,0.00247379999999999
0.24,5283.703,26.963,0.0026962999999999926
0.25,5092.085,29.476,0.002947599999999993
0.26,4901.542,32.258,0.0032257999999999987
0.27,4712.723,35.311,0.003531099999999997
0.28,4524.185,39.056,0.003905599999999998
0.29,4337.368,43.081,0.004308099999999993
0.3,4151.907,47.55,0.004755000000000004
0.31,3968.093,52.996,0.0052996
0.32,3786.353,59.281,0.005928100000000001
0.33,3606.458,67.007,0.00670069999999999
0.34,3428.284,75.922,0.007592200000000011
0.35,3251.993,86.675,0.008667500000000005
0.36,3077.57,99.732,0.009973199999999993
0.37,2905.873,114.763,0.011476300000000007
0.38,2737.904,133.296,0.013329599999999992
0.39,2572.429,157.735,0.015773499999999982
0.4,2410.163,188.855,0.0188855
0.41,2251.427,226.974,0.0226974
0.42,2096.939,280.04,0.028003999999999987
0.43,1946.208,350.964,0.035096400000000035
0.44,1800.119,448.036,0.0448036
0.45,1658.784,589.092,0.05890919999999999
0.46,1523.822,803.332,0.08033319999999997
0.47,1395.579,1160.684,0.11606840000000013
0.48,1272.973,1716.144,0.1716143999999999
0.49,1157.214,2587.143,0.2587142999999995
0.5,1049.784,3862.041,0.3862041000000001
0.51,950.371,5356.611,0.5356611
0.52,859.399,6717.201,0.6717201000000002
0.53,776.446,7605.731,0.760573099999999
0.54,700.978,8182.008,0.8182008000000001
0.55,632.237,8558.916,0.8558916000000015
0.56,569.39,8816.65,0.8816650000000003
0.57,512.377,9009.486,0.900948600000001
0.58,460.261,9161.906,0.9161906
0.59,412.667,9285.685,0.9285685
0.6,369.597,9385.665,0.9385664999999996
0.61,330.412,9472.544,0.9472543999999994
0.62,294.659,9546.164,0.9546164000000013
0.63,262.232,9608.948,0.9608947999999998
0.64,233.061,9663.183,0.9663183000000004
0.65,206.31,9709.508,0.9709507999999999
0.66,182.095,9750.167,0.9750167000000007
0.67,160.283,9785.415,0.9785414999999991
0.68,140.726,9815.805,0.9815805000000001
0.69,123.259,9841.944,0.9841944000000006
0.7,107.493,9864.825,0.9864825
0.71,93.511,9884.31,0.9884310000000003
0.72,80.908,9901.651,0.9901650999999991
0.73,70.023,9916.235,0.9916234999999993
0.74,60.038,9929.27,0.992927000000001
0.75,51.206,9940.698,0.9940698000000021
0.76,43.646,9950.204,0.9950204000000007
0.77,37.029,9958.324,0.9958323999999993
0.78,31.136,9965.474,0.9965473999999978
0.79,26.024,9971.598,0.9971597999999979
0.8,21.689,9976.753,0.997675299999998
0.81,17.868,9981.258,0.9981257999999981
0.82,14.658,9984.926,0.9984925999999997
0.83,11.89,9988.065,0.9988064999999992
0.84,9.724,9990.512,0.999051199999998
0.85,7.778,9992.692,0.9992691999999983
0.86,6.171,9994.457,0.9994456999999974
0.87,4.887,9995.871,0.999587100000001
0.88,3.924,9996.908,0.999690800000003
0.89,3.169,9997.729,0.9997729000000055
0.9,2.5,9998.432,0.9998432000000083
0.91,2.034,9998.926,0.9998926000000086
0.92,1.67,9999.31,0.9999310000000078
0.93,1.411,9999.581,0.9999581000000061
0.94,1.238,9999.759,0.9999759000000041
0.95,1.122,9999.876,0.9999876000000022
0.96,1.061,9999.938,0.9999938000000012
0.97,1.027,9999.972,0.9999972000000005
0.98,1.007,9999.993,0.9999993000000001
0.99,1.001,9999.999,0.9999999
1.0,1.0,10000.0,1.0
