q,Componentes Conexos,Tamaño Clúster Mayor,N_sc
0.0,2500.0,1.0,0.00040000000000000734
0.01,2451.243,2.802,0.0011208000000000004
0.02,2402.06,3.337,0.0013348000000000157
0.03,2352.98,3.84,0.0015360000000000252
0.04,2304.039,4.318,0.0017272000000000207
0.05,2255.409,4.788,0.0019152000000000086
0.06,2206.405,5.238,0.0020951999999999937
0.07,2157.485,5.687,0.002274799999999989
0.08,2108.35,6.222,0.0024887999999999976
0.09,2059.592,6.711,0.002684400000000016
0.1,2010.808,7.249,0.002899600000000025
0.11,1961.841,7.827,0.003130800000000034
0.12,1913.032,8.514,0.003405600000000035
0.13,1863.954,9.213,0.0036852000000000243
0.14,1815.184,9.939,0.003975600000000013
0.15,1766.431,10.6,0.0042399999999999955
0.16,1717.827,11.422,0.004568799999999991
0.17,1669.244,12.219,0.0048876000000000076
0.18,1620.911,13.21,0.005284000000000026
0.19,1572.859,14.319,0.005727600000000046
0.2,1524.707,15.425,0.0061700000000000504
0.21,1476.458,16.664,0.00666560000000005
0.22,1428.401,18.002,0.00720080000000004
0.23,1380.343,19.354,0.007741600000000026
0.24,1332.99,21.071,0.00842839999999999
0.25,1285.472,22.8,0.00911999999999997
0.26,1238.27,24.978,0.009991199999999957
0.27,1191.502,27.392,0.010956799999999975
0.28,1144.843,30.034,0.012013600000000004
0.29,1098.894,33.064,0.013225600000000004
0.3,1053.295,36.633,0.014653200000000002
0.31,1007.671,40.601,0.016240400000000016
0.32,962.272,44.925,0.017969999999999965
0.33,917.375,49.994,0.019997600000000004
0.34,873.22,56.675,0.02267000000000002
0.35,829.708,64.226,0.02569040000000002
0.36,786.628,72.257,0.02890279999999999
0.37,744.052,81.904,0.032761599999999995
0.38,702.175,94.04,0.03761599999999997
0.39,661.207,108.586,0.043434400000000026
0.4,621.286,127.466,0.050986399999999994
0.41,581.792,148.749,0.05949959999999999
0.42,543.366,177.968,0.0711872
0.43,505.6,214.843,0.08593719999999995
0.44,469.375,263.034,0.1052136
0.45,434.245,327.839,0.1311355999999999
0.46,400.618,407.299,0.16291959999999994
0.47,368.075,514.478,0.2057912000000002
0.48,337.219,657.286,0.26291439999999966
0.49,307.86,838.709,0.33548359999999977
0.5,280.266,1067.422,0.42696879999999976
0.51,254.667,1313.727,0.5254908000000004
0.52,231.028,1546.315,0.6185260000000008
0.53,209.141,1750.809,0.7003235999999996
0.54,189.397,1905.04,0.7620160000000005
0.55,171.242,2029.97,0.8119879999999994
0.56,154.222,2125.613,0.8502452000000011
0.57,138.934,2191.737,0.8766947999999996
0.58,125.084,2245.022,0.8980087999999998
0.59,112.479,2284.504,0.9138015999999992
0.6,100.916,2316.686,0.9266743999999988
0.61,90.419,2344.685,0.9378739999999983
0.62,80.959,2367.365,0.946945999999999
0.63,72.357,2385.892,0.9543567999999991
0.64,64.554,2401.359,0.9605435999999999
0.65,57.384,2414.974,0.9659896000000008
0.66,50.971,2426.75,0.9707000000000002
0.67,45.233,2436.694,0.9746775999999993
0.68,39.967,2445.447,0.9781787999999992
0.69,35.231,2452.921,0.9811683999999992
0.7,30.927,2459.878,0.9839511999999991
0.71,27.04,2465.794,0.9863176000000021
0.72,23.531,2470.899,0.9883596000000019
0.73,20.403,2475.323,0.9901292000000012
0.74,17.721,2479.155,0.9916620000000015
0.75,15.36,2482.342,0.9929368000000008
0.76,13.214,2485.209,0.9940836000000013
0.77,11.413,2487.552,0.9950208000000028
0.78,9.816,2489.495,0.995798000000002
0.79,8.399,2491.275,0.9965100000000022
0.8,7.172,2492.797,0.9971188000000007
0.81,6.084,2494.154,0.997661599999998
0.82,5.167,2495.27,0.9981079999999966
0.83,4.381,2496.207,0.9984827999999942
0.84,3.701,2496.975,0.99878999999999
0.85,3.11,2497.641,0.9990563999999886
0.86,2.62,2498.212,0.9992847999999891
0.87,2.238,2498.634,0.9994535999999897
0.88,1.937,2498.973,0.9995891999999914
0.89,1.675,2499.255,0.999701999999993
0.9,1.478,2499.467,0.9997867999999949
0.91,1.318,2499.643,0.9998571999999966
0.92,1.214,2499.765,0.9999059999999976
0.93,1.127,2499.86,0.9999439999999986
0.94,1.084,2499.908,0.999963199999999
0.95,1.038,2499.959,0.9999835999999995
0.96,1.021,2499.978,0.9999911999999997
0.97,1.005,2499.995,0.9999979999999999
0.98,1.002,2499.998,0.9999992
0.99,1.0,2500.0,1.0
1.0,1.0,2500.0,1.0
